epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,13085.3,0.43831,0.20752,0.87792,0.99829,1,0.99453,0.88573,0.55102,0.19636,0.91303,0.000202571,0.000202571,0.000202571
159,13148.8,0.43517,0.20853,0.87715,0.99825,1,0.99454,0.88703,0.54772,0.19579,0.91036,0.000198071,0.000198071,0.000198071
160,13212.3,0.43473,0.20457,0.87666,0.99832,1,0.99431,0.88714,0.54714,0.19557,0.90968,0.000193572,0.000193572,0.000193572
161,13279.4,0.43774,0.20604,0.87904,0.9982,0.99971,0.99424,0.8859,0.54701,0.19537,0.90896,0.000189072,0.000189072,0.000189072
162,13346.4,0.43382,0.20458,0.8751,0.99816,0.99945,0.99432,0.8865,0.54692,0.19505,0.90956,0.000184572,0.000184572,0.000184572
163,13434.6,0.43315,0.20515,0.88156,0.99813,0.99942,0.99439,0.88519,0.55034,0.19635,0.90993,0.000180073,0.000180073,0.000180073
164,13501.4,0.43406,0.20688,0.87576,0.99831,1,0.99445,0.88631,0.55158,0.19722,0.90887,0.000175573,0.000175573,0.000175573
165,13569,0.42731,0.20319,0.87392,0.99828,1,0.99436,0.8847,0.55503,0.19687,0.90988,0.000171074,0.000171074,0.000171074
166,13633.2,0.42537,0.20133,0.87193,0.99829,1,0.99466,0.88315,0.55749,0.19727,0.91041,0.000166574,0.000166574,0.000166574
167,13699.6,0.42907,0.20066,0.87137,0.99827,1,0.99476,0.88588,0.55697,0.19669,0.90978,0.000162075,0.000162075,0.000162075
168,13766.5,0.426,0.20045,0.87297,0.99824,0.99945,0.99461,0.88367,0.5584,0.19673,0.91112,0.000157575,0.000157575,0.000157575
169,13834,0.42809,0.20453,0.8754,0.99816,0.99949,0.99457,0.88412,0.5553,0.19715,0.91182,0.000153076,0.000153076,0.000153076
170,13898.1,0.42111,0.19897,0.87383,0.99828,1,0.99452,0.88365,0.55467,0.19522,0.91129,0.000148576,0.000148576,0.000148576
171,13962.5,0.42528,0.20091,0.87287,0.99838,1,0.99418,0.88445,0.55555,0.19568,0.91278,0.000144077,0.000144077,0.000144077
172,14026.9,0.42313,0.19764,0.87121,0.99835,1,0.99458,0.88445,0.55571,0.19582,0.91311,0.000139577,0.000139577,0.000139577
173,14091.9,0.42107,0.19739,0.87218,0.99832,1,0.99422,0.88294,0.56106,0.19671,0.91495,0.000135077,0.000135077,0.000135077
174,14155.4,0.41655,0.19621,0.86998,0.99825,0.99999,0.99451,0.88221,0.5584,0.19558,0.91456,0.000130578,0.000130578,0.000130578
175,14218.9,0.42518,0.19858,0.87692,0.99821,0.99992,0.99433,0.88089,0.56132,0.19701,0.91574,0.000126078,0.000126078,0.000126078
176,14289.8,0.41766,0.19528,0.87146,0.99824,1,0.99451,0.88086,0.56255,0.19684,0.91662,0.000121579,0.000121579,0.000121579
177,14363.4,0.4147,0.19525,0.86886,0.99826,1,0.99447,0.88186,0.56099,0.1969,0.9172,0.000117079,0.000117079,0.000117079
178,14437.7,0.4184,0.19654,0.87389,0.99824,1,0.99447,0.88253,0.55581,0.19492,0.91518,0.00011258,0.00011258,0.00011258
179,14513.6,0.40924,0.19473,0.86496,0.99823,1,0.99447,0.88342,0.55576,0.19539,0.91547,0.00010808,0.00010808,0.00010808
